Array size, Server overhead
1000, -0.34099999999999997
1500, -0.16300000000000003
2000, -0.16100000000000003
2500, -0.21099999999999985
3000, -0.17600000000000016
3500, -0.23899999999999988
4000, -0.2190000000000003
4500, -0.266
5000, -0.4950000000000001
5500, -0.3379999999999992
6000, -0.5909999999999993
6500, -0.3819999999999997
7000, -5.5969999999999995
7500, -6.311999999999999
8000, -5.9510000000000005
8500, -1.9849999999999994
9000, -5.910999999999998
9500, -1.9589999999999996
10000, -1.3350000000000009
