Array size, Server overhead
1000, -0.8496027241770716
1500, -2.337669683257918
2000, -1.0971502590673579
2500, -3.099735799207398
3000, -1.5205391527599499
3500, -0.5355486862442032
4000, -0.7511664074650088
4500, -1.3544776119402968
5000, -6.35656292286874
5500, -0.7402877697841745
6000, -2.1742831541218663
6500, -1.0348011363636402
7000, -2.0132978723404236
7500, -1.3960481099656334
8000, -2.4720812182741128
8500, -3.334513274336288
9000, -5.205390334572485
9500, -5.182692307692292
10000, -6.326923076923094
