Array size, Server overhead
1000, -0.15921787709497193
1500, -0.23633257403189045
2000, -0.32124010554089644
2500, -0.8476562500000009
3000, -0.9643799472295509
3500, -0.700151057401813
4000, -0.6222570532915359
4500, -0.8155487804878057
5000, -1.0392156862745097
5500, -0.7163934426229517
6000, -0.797857142857147
6500, -1.4225251076040166
7000, -1.535601265822784
7500, -1.4033057851239619
8000, -2.8114035087719316
8500, -2.751351351351346
9000, -3.8688679245283026
9500, -4.496108949416339
10000, -6.898520084566599
