Delay, Server overhead
2, -0.4380000000000024
7, -1.0219999999999843
12, -0.5579999999999927
17, -1.0980000000000132
22, -10.144000000000005
27, -0.4859999999999971
32, -0.4579999999999984
37, -0.9619999999999891
42, -0.7959999999999923
47, -0.9599999999999937
52, -0.5440000000000111
57, -1.0620000000000047
62, -1.3359999999999985
67, -0.5740000000000052
72, -7.164000000000016
77, -0.5339999999999989
82, -0.5560000000000045
87, -1.0139999999999887
92, -0.5479999999999912
97, -0.9080000000000084
