Delay, Server overhead
2, -0.9154228855721378
7, -0.6172839506172814
12, -0.5178997613365155
17, -0.9312039312039317
22, -0.5241379310344811
27, -0.47025171624713735
32, -0.5344036697247709
37, -0.9266666666666659
42, -0.7783964365256111
47, -0.4811529933481147
52, -0.5938914027149309
57, -0.4899777282850799
62, -0.35431235431235564
67, -0.4011235955056165
72, -0.47532188841201517
77, -0.4290322580645167
82, -0.33073496659242707
87, -0.5571748878923799
92, -0.6024498886414271
97, -0.40156599552572736
